regime,seed,method,snapshot_t,delta,gain_vs_cold
continuous_sudden,403,Combined,2,0.24964046732862408,-0.026640790268264866
continuous_sudden,403,Param,3,0.5278923012720957,0.0
continuous_sudden,403,State,3,0.5278923012720957,0.0
continuous_sudden,403,Combined,3,0.5278923012720957,0.0
continuous_sudden,403,Param,4,0.9999999994929148,0.18
continuous_sudden,403,State,4,0.9999999994929148,0.18
continuous_sudden,403,Combined,4,0.9999999994929148,0.18
continuous_sudden,403,Param,5,0.9999999996119976,-0.06
continuous_sudden,403,State,5,0.9999999996119976,-0.06
continuous_sudden,403,Combined,5,0.9999999996119976,-0.35280320368757223
continuous_sudden,403,Param,6,0.4886299944967784,0.0
continuous_sudden,403,State,6,0.4886299944967784,0.24
continuous_sudden,403,Combined,6,0.4886299944967784,0.12
continuous_sudden,403,Param,7,0.15282794330069527,0.0
continuous_sudden,403,State,7,0.15282794330069527,0.0
continuous_sudden,403,Combined,7,0.15282794330069527,0.0
continuous_sudden,403,Param,8,0.5685855364468583,0.0
continuous_sudden,403,State,8,0.5685855364468583,0.0
continuous_sudden,403,Combined,8,0.5685855364468583,0.0
continuous_sudden,403,Param,9,0.1364761162963966,-0.06
continuous_sudden,403,State,9,0.1364761162963966,0.0
continuous_sudden,403,Combined,9,0.1364761162963966,0.0
continuous_sudden,403,Param,10,0.2759783276114509,0.0
continuous_sudden,403,State,10,0.2759783276114509,0.18
continuous_sudden,403,Combined,10,0.2759783276114509,0.18
continuous_sudden,403,Param,11,0.9999999995358637,0.0
continuous_sudden,403,State,11,0.9999999995358637,0.12
continuous_sudden,403,Combined,11,0.9999999995358637,0.12
continuous_sudden,404,Param,1,0.15950703129383095,-0.15351517295438522
continuous_sudden,404,State,1,0.15950703129383095,0.11720952929601869
continuous_sudden,404,Combined,1,0.15950703129383095,0.11720952929601869
continuous_sudden,404,Param,2,0.19238823728685486,-0.13956004382596826
continuous_sudden,404,State,2,0.19238823728685486,0.17098418667885634
continuous_sudden,404,Combined,2,0.19238823728685486,0.17098418667885634
continuous_sudden,404,Param,3,0.6059795767524712,0.0
continuous_sudden,404,State,3,0.6059795767524712,0.18
continuous_sudden,404,Combined,3,0.6059795767524712,0.18
continuous_sudden,404,Param,4,0.26032744206218034,0.0
continuous_sudden,404,State,4,0.26032744206218034,0.24
continuous_sudden,404,Combined,4,0.26032744206218034,0.24
continuous_sudden,404,Param,5,0.6217436369402931,0.0
continuous_sudden,404,State,5,0.6217436369402931,-0.06
continuous_sudden,404,Combined,5,0.6217436369402931,-0.06
continuous_sudden,404,Param,6,0.5962833426559764,0.0
continuous_sudden,404,State,6,0.5962833426559764,-0.06
continuous_sudden,404,Combined,6,0.5962833426559764,0.0
continuous_sudden,404,Param,7,0.17780520999009672,-0.0406608004552169
continuous_sudden,404,State,7,0.17780520999009672,-0.0406608004552169
continuous_sudden,404,Combined,7,0.17780520999009672,0.06
continuous_sudden,404,Param,8,0.38228916817028835,-0.06
continuous_sudden,404,State,8,0.38228916817028835,0.0
continuous_sudden,404,Combined,8,0.38228916817028835,0.0
continuous_sudden,404,Param,9,0.210205059675087,-0.06
continuous_sudden,404,State,9,0.210205059675087,0.12
continuous_sudden,404,Combined,9,0.210205059675087,0.12
continuous_sudden,404,Param,10,0.7365407348189391,0.12
continuous_sudden,404,State,10,0.7365407348189391,-0.12
continuous_sudden,404,Combined,10,0.7365407348189391,0.06
continuous_sudden,404,Param,11,0.7167348753235268,0.06
continuous_sudden,404,State,11,0.7167348753235268,0.0
continuous_sudden,404,Combined,11,0.7167348753235268,0.0
