regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,102,Combined,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018019729732559407,0.0,1.0,0.994140625,24,2048,102,113,8.85032733087428
stationary,102,Cold,6,0.0,0.18,0.0,0.6,0.5560294007797217,0.2560294007797217,1.0,0.0,0.4962774146447676,0.18,1.0,0.00244140625,24,2048,102,112,33.8589889400173
stationary,102,Param,6,0.0,0.06,0.0,0.19999999999999996,0.9835110638119446,0.4435110638119446,1.8,0.12,0.40243812416718994,0.06,1.0,0.05517578125,24,2048,102,112,8.957892989972606
stationary,102,State,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.005377293328074834,0.0,1.0,0.982421875,24,2048,102,113,10.788000667002052
stationary,102,Combined,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.002981544550555029,0.0,1.0,0.98974609375,24,2048,102,113,15.333170074038208
stationary,102,Cold,7,0.0,0.2784470222886604,0.15844702228866042,0.3999999999999999,0.8344764230683821,0.4144764230683821,1.4,0.0,0.4518829502475191,0.2784470222886604,1.0,0.00048828125,24,2048,102,113,17.129225618205965
stationary,102,Param,7,0.0,0.21844702228866042,0.15844702228866048,0.19999999999999996,1.2019580861006052,0.6019580861006051,2.0,0.06,0.3936569864647819,0.21844702228866042,1.0,0.07568359375,24,2048,102,113,8.735481161857024
stationary,102,State,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2784470222886604,0.0003485691108420085,0.0,1.0,0.9990234375,24,2048,102,113,9.18393508484587
stationary,102,Combined,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2784470222886604,0.001635295858842524,0.0,1.0,0.99462890625,24,2048,102,113,9.707889027195051
stationary,102,Cold,8,0.0,0.15844702228866042,0.15844702228866042,0.0,0.9929234453570426,0.5729234453570425,1.4,0.0,0.3325704528369362,0.15844702228866042,1.0,0.00244140625,24,2048,102,112,8.696984061971307
