regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold
gradual,202,State,9,0.02324678356560088,0.06,0.0,0.19999999999999996,0.6927785942395064,0.2127785942395062,1.5999999999999999,0.0
gradual,202,Combined,9,0.02324678356560088,0.0,0.0,0.0,0.0,0.0,0.0,0.06
gradual,203,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,203,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,203,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,203,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,203,Cold,1,0.046468866499842644,0.1796152545572666,0.1196152545572666,0.2,0.1796152545572666,0.1196152545572666,0.2,0.0
gradual,203,Param,1,0.046468866499842644,0.17126619218942302,0.11126619218942303,0.2,0.17126619218942302,0.11126619218942303,0.2,0.00834906236784358
gradual,203,State,1,0.046468866499842644,0.17126619218942302,0.11126619218942303,0.2,0.17126619218942302,0.11126619218942303,0.2,0.00834906236784358
gradual,203,Combined,1,0.046468866499842644,0.0,0.0,0.0,0.0,0.0,0.0,0.1796152545572666
gradual,203,Cold,2,0.14492270983515657,0.12,0.0,0.4000000000000001,0.29961525455726656,0.1196152545572666,0.6000000000000001,0.0
gradual,203,Param,2,0.14492270983515657,0.06,0.0,0.2,0.23126619218942301,0.11126619218942303,0.4,0.06
gradual,203,State,2,0.14492270983515657,0.06,0.0,0.2,0.23126619218942301,0.11126619218942303,0.4,0.06
gradual,203,Combined,2,0.14492270983515657,0.0,0.0,0.0,0.0,0.0,0.0,0.12
gradual,203,Cold,3,0.19182734232194484,0.06,0.0,0.19999999999999996,0.35961525455726656,0.1196152545572666,0.8,0.0
gradual,203,Param,3,0.19182734232194484,0.12,0.0,0.4,0.351266192189423,0.11126619218942303,0.8,-0.06
gradual,203,State,3,0.19182734232194484,0.06,0.0,0.20000000000000007,0.291266192189423,0.11126619218942303,0.6000000000000001,0.0
gradual,203,Combined,3,0.19182734232194484,0.0,0.0,0.0,0.0,0.0,0.0,0.06
gradual,203,Cold,4,0.052721632471403095,0.06,0.0,0.19999999999999996,0.41961525455726656,0.1196152545572666,1.0,0.0
gradual,203,Param,4,0.052721632471403095,0.06,0.0,0.19999999999999996,0.411266192189423,0.11126619218942303,1.0,0.0
gradual,203,State,4,0.052721632471403095,0.06,0.0,0.19999999999999996,0.351266192189423,0.11126619218942303,0.8,0.0
gradual,203,Combined,4,0.052721632471403095,0.0,0.0,0.0,0.0,0.0,0.0,0.06
gradual,203,Cold,5,0.10758557789060247,0.12,0.0,0.3999999999999999,0.5396152545572666,0.1196152545572666,1.4,0.0
gradual,203,Param,5,0.10758557789060247,0.06,0.0,0.19999999999999996,0.471266192189423,0.11126619218942303,1.2,0.06
gradual,203,State,5,0.10758557789060247,0.06,0.0,0.19999999999999996,0.411266192189423,0.11126619218942303,1.0,0.06
gradual,203,Combined,5,0.10758557789060247,0.0,0.0,0.0,0.0,0.0,0.0,0.12
gradual,203,Cold,6,0.07732365050631303,0.12,0.0,0.3999999999999999,0.6596152545572666,0.1196152545572666,1.7999999999999998,0.0
gradual,203,Param,6,0.07732365050631303,0.10995923207785589,0.10995923207785589,0.0,0.5812254242672789,0.22122542426727893,1.2,0.010040767922144103
gradual,203,State,6,0.07732365050631303,0.06,0.0,0.19999999999999996,0.471266192189423,0.11126619218942303,1.2,0.06
gradual,203,Combined,6,0.07732365050631303,0.0,0.0,0.0,0.0,0.0,0.0,0.12
gradual,203,Cold,7,0.11602616051961202,0.12,0.0,0.3999999999999999,0.7796152545572665,0.1196152545572666,2.1999999999999997,0.0
gradual,203,Param,7,0.11602616051961202,0.06,0.0,0.19999999999999996,0.6412254242672788,0.22122542426727893,1.4,0.06
gradual,203,State,7,0.11602616051961202,0.06,0.0,0.19999999999999996,0.5312661921894231,0.11126619218942303,1.4,0.06
gradual,203,Combined,7,0.11602616051961202,0.0,0.0,0.0,0.0,0.0,0.0,0.12
gradual,203,Cold,8,0.16550692809662704,0.18006996556732902,0.12006996556732902,0.20000000000000018,0.9596852201245956,0.23968522012459562,2.4,0.0
gradual,203,Param,8,0.16550692809662704,0.12006996556732902,0.12006996556732902,0.0,0.7612953898346078,0.34129538983460794,1.4,0.06
gradual,203,State,8,0.16550692809662704,0.10390255086681709,0.10390255086681709,0.0,0.6351687430562402,0.21516874305624012,1.4,0.07616741470051193
gradual,203,Combined,8,0.16550692809662704,0.0,0.0,0.0,0.0,0.0,0.0,0.18006996556732902
gradual,203,Cold,9,0.06431758203739493,0.18,0.0,0.6000000000000001,1.1396852201245955,0.23968522012459562,3.0,0.0
gradual,203,Param,9,0.06431758203739493,0.14255320124585144,0.14255320124585147,0.0,0.9038485910804592,0.4838485910804594,1.4,0.03744679875414855
gradual,203,State,9,0.06431758203739493,0.10108405637289612,0.10108405637289614,0.0,0.7362527994291362,0.31625279942913626,1.4,0.07891594362710387
gradual,203,Combined,9,0.06431758203739493,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,204,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,204,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,204,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,204,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,204,Cold,1,0.059148980794576915,0.18,0.0,0.6,0.18,0.0,0.6,0.0
gradual,204,Param,1,0.059148980794576915,0.15079094039013158,0.09079094039013158,0.2,0.15079094039013158,0.09079094039013158,0.2,0.029209059609868415
gradual,204,State,1,0.059148980794576915,0.15079094039013158,0.09079094039013158,0.2,0.15079094039013158,0.09079094039013158,0.2,0.029209059609868415
gradual,204,Combined,1,0.059148980794576915,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,204,Cold,2,0.04639708242502142,0.18,0.0,0.6,0.36,0.0,1.2,0.0
gradual,204,Param,2,0.04639708242502142,0.1093763905241017,0.1093763905241017,0.0,0.2601673309142333,0.20016733091423328,0.2,0.0706236094758983
gradual,204,State,2,0.04639708242502142,0.1093763905241017,0.1093763905241017,0.0,0.2601673309142333,0.20016733091423328,0.2,0.0706236094758983
gradual,204,Combined,2,0.04639708242502142,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,204,Cold,3,0.0448791500690961,0.18,0.0,0.5999999999999999,0.54,0.0,1.7999999999999998,0.0
